rank,name,links
1,Sousou no Frieren,https://myanimelist.net/anime/52991/Sousou_no_Frieren
2,One Piece Fan Letter,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter
3,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
4,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate
5,Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
6,Gintama°,https://myanimelist.net/anime/28977/Gintama°
7,Gintama: The Final,https://myanimelist.net/anime/39486/Gintama__The_Final
8,Gintama',https://myanimelist.net/anime/9969/Gintama
9,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
10,Gintama': Enchousen,https://myanimelist.net/anime/15417/Gintama__Enchousen
11,Bleach: Sennen Kessen-hen,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen
12,Bleach: Sennen Kessen-hen - Soukoku-tan,https://myanimelist.net/anime/56784/Bleach__Sennen_Kessen-hen_-_Soukoku-tan
13,Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
14,Kaguya-sama wa Kokurasetai: Ultra Romantic,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
15,Gintama.,https://myanimelist.net/anime/34096/Gintama
16,Fruits Basket: The Final,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
17,Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story
18,Gintama,https://myanimelist.net/anime/918/Gintama
19,Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi
20,3-gatsu no Lion 2nd Season,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
21,Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
22,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
23,Kusuriya no Hitorigoto,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto
24,Look Back,https://myanimelist.net/anime/58125/Look_Back
25,Monster,https://myanimelist.net/anime/19/Monster
26,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,https://myanimelist.net/anime/54857/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_3rd_Season
27,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen
28,Owarimonogatari 2nd Season,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
29,Shingeki no Kyojin: The Final Season - Kanketsu-hen,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen
30,Violet Evergarden Movie,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie
31,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa
32,Kingdom 3rd Season,https://myanimelist.net/anime/40682/Kingdom_3rd_Season
33,Gintama.: Shirogane no Tamashii-hen,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen
34,Vinland Saga Season 2,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2
35,Jujutsu Kaisen 2nd Season,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season
36,Mob Psycho 100 II,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
37,Monogatari Series: Off & Monster Season,https://myanimelist.net/anime/57864/Monogatari_Series__Off___Monster_Season
38,Boku no Kokoro no Yabai Yatsu 2nd Season,https://myanimelist.net/anime/55690/Boku_no_Kokoro_no_Yabai_Yatsu_2nd_Season
39,Shingeki no Kyojin: The Final Season,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
40,Kizumonogatari III: Reiketsu-hen,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen
41,Bocchi the Rock!,https://myanimelist.net/anime/47917/Bocchi_the_Rock
42,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou
43,Hajime no Ippo,https://myanimelist.net/anime/263/Hajime_no_Ippo
44,Sen to Chihiro no Kamikakushi,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
45,Shingeki no Kyojin: The Final Season Part 2,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2
46,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga
47,Monogatari Series: Second Season,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season
48,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai
49,Cowboy Bebop,https://myanimelist.net/anime/1/Cowboy_Bebop
50,The First Slam Dunk,https://myanimelist.net/anime/45649/The_First_Slam_Dunk
51,Shiguang Dailiren,https://myanimelist.net/anime/44074/Shiguang_Dailiren
52,Ashita no Joe 2,https://myanimelist.net/anime/2921/Ashita_no_Joe_2
53,Hibike! Euphonium 3,https://myanimelist.net/anime/39894/Hibike_Euphonium_3
54,Kimetsu no Yaiba: Yuukaku-hen,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen
55,Kingdom 4th Season,https://myanimelist.net/anime/50160/Kingdom_4th_Season
56,Kingdom 5th Season,https://myanimelist.net/anime/53223/Kingdom_5th_Season
57,Mushishi Zoku Shou 2nd Season,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season
58,One Piece,https://myanimelist.net/anime/21/One_Piece
59,Mob Psycho 100 III,https://myanimelist.net/anime/50172/Mob_Psycho_100_III
60,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen
61,86 Part 2,https://myanimelist.net/anime/48569/86_Part_2
62,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,https://myanimelist.net/anime/53998/Bleach__Sennen_Kessen-hen_-_Ketsubetsu-tan
